Age,Gender,Years IT / Programming Experience,Occupation,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In,Training & Education: No formal training,Training & Education: On the job,Training & Education: Boot camp or night school,Training & Education: Online Class,Training & Education: Mentorship,Training & Education: Industry certification,"Training & Education: Some college, but no CS degree",Training & Education: BS in CS,Training & Education: Masters in CS,Training & Education: PhD in CS,Training & Education: Other,Compensation,Compensation: midpoint,Employment Status,Industry
20-24,Male,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Delphi,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Education
30-34,Male,6 - 10 years,Back-end web developer,Android,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,Perl,PHP,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Education
25-29,Male,6 - 10 years,Back-end web developer,,,AngularJS,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,F#,,,,,,,,,MongoDB,Node.js,,,,,,,Ruby,,,,,,,SQL Server,,Visual Basic,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Education
40-50,Male,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,Perl,PHP,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Education
40-50,Male,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,,Python,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Education
30-34,Female,11+ years,Back-end web developer,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Education
40-50,Male,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$20,000 - $40,000",30000,Employed full-time,Education
20-24,Male,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,Industry certification program,,,,,,"$40,000 - $60,000",50000,Employed full-time,Education
Prefer not to disclose,Male,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,Rather not say,Rather not say,Freelance / Contractor,Education
> 60,Male,11+ years,Back-end web developer,,,AngularJS,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,SQL Server,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$120,000 - $140,000",130000,Employed full-time,Finance / Banking
30-34,Male,11+ years,Back-end web developer,,,,C,C++,C++11,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"More than $160,000",170000,Employed full-time,Finance / Banking
30-34,Male,6 - 10 years,Back-end web developer,,,,,C++,,,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,elasticsearch,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$120,000 - $140,000",130000,Employed full-time,Finance / Banking
